clave,fuente,usr_id,prp_id,url,fecha_scraping,fecha_publicacion,precio,moneda,precio_m2,superficie_cubierta_m2,superficie_total_m2,ambientes,dormitorios,banos,tipo_construccion,condicion,estado_conservacion,antiguedad,localidad,provincia,direccion,latitud,longitud,cochera,plantas,piscina,amoblado,tiene_expensas,valor_expensas,acepta_mascotas,zona_escolar,publicador,tipo_anunciante,es_dueno_directo,posible_duplicado_cruzado,motivo_sospecha,descripcion,id_publicado
inmoclick:1002-1690,inmoclick,1002,1690,https://inmoclick.com/1002-riveros-propiedades-sa/inmuebles/1690/ficha/departamento-en-alquiler-en-los-toneles-2495-2o27o,2026-09-08,,580000.0,ARS,7733.333333333333,75.0,75.0,,2.0,1.0,Departamento,Alquiler,Muy Bueno,40.0,Capital,Mendoza,LOS TONELES 2495 2º27º,-32.87412100000001,-68.84139534973754,Sin Cochera,1.0,False,False,,40000.0,False,,riveros propiedades sa,Inmobiliaria,False,False,,"RIVEROS PROPIEDADES ALQUILA: Departamento De 2 Dormitorios En Zona Parque Central, Calle Los Toneles, Ciudad, Mendoza. NO SE PERMITEN MASCOTAS.
Características:
- Cocina.
- Estar Comedor.
- Lavandería.
- 2 Dormitorios Con Placar.
- Baño Completo.
- Balcón.
- Espacio Vehicular.
Detalles:
- Expensas: $40.000 Aproximadamente
- Preferentemente Sin Niños, A Conversar.
Requisitos:
- Solicitante Alquiler.
- 1 Garante Propietario Y 1 Garante Con Bono De Sueldo.
- 3 Garantes Con Bono De Sueldo (En Caso De No Tener Garante Propietario).
Contacto:",1002-1690
inmoclick:1002-1692,inmoclick,1002,1692,https://inmoclick.com/1002-riveros-propiedades-sa/inmuebles/1692/ficha/departamento-en-alquiler-en-calle-12-s-n-manzana-n-lote-238-planta-baja-2,2026-09-08,,600000.0,ARS,10000.0,60.0,75.0,,2.0,1.0,Departamento,Alquiler,Excelente,3.0,Guaymallen,Mendoza,CALLE 12 S/N MANZANA Ñ LOTE 238 PLANTA BAJA 2,-32.92629667274471,-68.76869561457829,Garage/Cochera,1.0,False,False,False,,False,,riveros propiedades sa,Inmobiliaria,False,False,,"RIVEROS PROPIEDADES ALQUILA: Departamento De 2 Dormitorios En Barrio Jardín Inka, Jesús Nazareno, Guaymallén, Mendoza. NO SE PERMITEN MASCOTAS.
Características:
- Estar Cocina Comedor.
- 2 Dormitorios Con Placar.
- Baño Completo.
- Patio - Lavanderia.
- Cochera Descubierta.
Detalles:
- Ubicado En Planta Baja.
- Complejo De 4 Departamentos.
- No Paga Expensas, Abona Luces De Espacios Comunes.
Requisitos:
- Solicitante Alquiler.
- 1 Garante Propietario Y 1 Garante Con Bono De Sueldo.
- 3 Garantes Con Bono De Sueldo (En Caso De No Tener Garante Propietario).
Contacto:
- www.riverospropiedades.com
- inmobiliaria@riverospropiedades.com",1002-1692
inmoclick:1002-1694,inmoclick,1002,1694,https://inmoclick.com/1002-riveros-propiedades-sa/inmuebles/1694/ficha/duplex-en-alquiler-en-moldes-734-j,2026-09-08,,800000.0,ARS,6666.666666666667,120.0,175.0,,4.0,2.0,Duplex,Alquiler,Muy Bueno,40.0,Guaymallen,Mendoza,"MOLDES 734 ""J""",-32.913213595285164,-68.8310003423279,Garage/Cochera,2.0,False,False,,20000.0,False,,riveros propiedades sa,Inmobiliaria,False,False,,"RIVEROS PROPIEDADES ALQUILA: Dúplex De 4 Dormitorios En Calle Moldes Cerca De Boulevard De Calle Dorrego, Guaymallén, Mendoza. NO SE PERMITEN MASCOTAS. 
Características:
- PLANTA BAJA:
- Estar Comedor,
- Cocina,
- 1 Dormitorio,
- Baño Completo,
- Patio,
- Cochera.
- PLANTA ALTA:
- 3 Dormitorios Con Placar,
- Baño Completo.
Detalles: 
- Abona Expensas $20.000 (Aprox)
- Ubicado En Complejo Cerrado.
Requisitos: 
- Solicitante alquiler. 
- 1 garante propietario y 1 garante con bono de sueldo. 
- 3 garantes con bono de sueldo (en caso de no tener garante propietario). 
Contacto: 
- www.riverospropiedades.com 
- inmobiliaria@riverospropiedades.com",1002-1694
inmoclick:1002-597,inmoclick,1002,597,https://inmoclick.com/1002-riveros-propiedades-sa/inmuebles/597/ficha/departamento-en-alquiler-en-renato-zanzin-1464-1o-5o,2026-09-08,,580000.0,ARS,13181.818181818182,44.0,50.0,,1.0,1.0,Departamento,Alquiler,Excelente,10.0,Godoy Cruz,Mendoza,RENATO ZANZIN 1464 1º 5º,-32.908736593257416,-68.85474069999997,Garage/Cochera,1.0,False,False,,20000.0,False,,riveros propiedades sa,Inmobiliaria,False,False,,"RIVEROS PROPIEDADES ALQUILA: Departamento De 1 Dormitorio En Calle Renato Zanzin Casi Pellegrini, En Godoy Cruz, Mendoza. NO SE PERMITEN MASCOTAS. 
Características:
- Estar Comedor.
- Cocina Con Desayunador y Lavanderia.
- Baño Completo Con Bañadera.
- 1 Dormitorio Con Placar.
- Balcón.
- Cochera Cubierta.
Detalles: 
- Expensas: $20.000 Aprox.
Requisitos:
- Solicitante Alquiler. 
- 1 Garante Propietario Y 1 Garante Con Bono De Sueldo.
- 3 Garantes Con Bono De Sueldo (En Caso De No Tener Garante Propietario).
Contacto:
- www.riverospropiedades.com
- inmobiliaria@riverospropiedades.com",1002-597
inmoclick:101189-240,inmoclick,101189,240,https://inmoclick.com/101189-juan-carlos-raiti/inmuebles/240/ficha/departamento-en-alquiler-en-calle-castro,2026-09-08,,480000.0,ARS,9600.0,50.0,50.0,3.0,1.0,1.0,Departamento,Alquiler,Excelente,7.0,Guaymallen,Mendoza,CALLE CASTRO,-32.91384293529721,-68.78489798130583,Garage,1.0,,False,,75000.0,False,,juan carlos raiti,Inmobiliaria,False,False,,"Departamento en planta baja, dentro de un complejo íntimo de cuatro unidades, ideal para quienes buscan comodidad y acceso rápido a la ciudad. Ubicado en calle Castro, a sólo 50 metros de calle Urquiza, ofrece una ubicación práctica y de fácil llegada.

Características principales:
- 📍 Ubicación: Calle Castro, a 50 m de calle Urquiza 
- 🏘️ Complejo: Parte de un conjunto de 4 departamentos (planta baja) 
- 🛏️ Dormitorios: 1 dormitorio con placard empotrado 
- 🍽️ Cocina: Cocina con amueblamientos completos, diseño moderno 
- 🛁 Baños: 1 baño completo con antebaño 
- 🛋️ Ambientes: Living-comedor luminoso y funcional 
- 🚗 Cochera: Espacio de cochera incluido

Descripción:
Este departamento combina practicidad y estilo en un espacio bien distribuido. El dormitorio con placard ofrece almacenamiento ordenado, mientras que la cocina, totalmente amueblada y de diseño moderno, facilita la vida diaria con estética contemporánea. El baño completo con antebaño brinda mayor comodidad y privacidad. El living-comedor propone un ambiente acogedor para recibir visitas o descansar después del trabajo. Al estar en planta baja, el acceso es directo y cómodo, y la cochera incluida aporta un valor agregado importante para quienes buscan seguridad y confort para su vehículo. Su ubicación, a pocos pasos de calle Urquiza, lo hace atractivo para quienes valoran la cercanía a puntos de interés sin renunciar a la tranquilidad de un complejo pequeño. Ideal para pareja o persona sola que busca funcionalidad y buen diseño.",101189-240
inmoclick:101189-257,inmoclick,101189,257,https://inmoclick.com/101189-juan-carlos-raiti/inmuebles/257/ficha/departamento-en-alquiler-en-calle-chile-entre-las-heras-y-necochea,2026-09-08,,430000.0,ARS,6142.857142857143,70.0,70.0,4.0,2.0,1.0,Departamento,Alquiler,Muy Bueno,20.0,Capital,Mendoza,CALLE CHILE entre Las Heras Y Necochea,-32.88558206610525,-68.8445618685089,Sin Cochera,1.0,False,False,,150000.0,False,,juan carlos raiti,Inmobiliaria,False,False,,"🛏️ 2 dormitorios con placares 
🚿 1 baño 
🍽️ Cocina funcional 
🏢 3er piso 
✨ Estado: lindo, para entrar a vivir

Presentamos un departamento lindo y práctico en 3er piso, pensado para quienes buscan comodidad y buen aprovechamiento del espacio. Sus dos dormitorios cuentan con placares empotrados que facilitan el orden y permiten optimizar cada ambiente; son habitaciones ideales para armar el dormitorio principal y una habitación auxiliar, oficina o cuarto de niños según tus necesidades.

La cocina, funcional y bien distribuida, ofrece el espacio necesario para preparar tus comidas del día a día y adaptar con facilidad pequeños electrodomésticos o soluciones de almacenamiento adicionales. El baño, completo, responde a la funcionalidad que demanda una vivienda cotidiana.

Al estar en un tercer piso, el inmueble ofrece mayor privacidad y menos ruidos de calle, lo que suma tranquilidad a la experiencia de vivir aquí. Su estado “lindo” sugiere que se encuentra en condiciones aptas para mudarse sin grandes reformas, permitiéndote enfocarte en decorar y personalizar cada ambiente a tu gusto.

Es una opción atractiva para parejas, familias pequeñas o inversores que buscan una propiedad con distribución práctica y buen potencial. Consultá para coordinar una visita y comprobar en persona todas las ventajas que ofrece este departamento.",101189-257
inmoclick:101867-24,inmoclick,101867,24,https://inmoclick.com/101867-rosana/inmuebles/24/ficha/departamento-en-alquiler-en-mitre-749-cdad,2026-09-08,,480000.0,ARS,13714.285714285714,35.0,35.0,2.0,1.0,1.0,Departamento,Alquiler,Excelente,,Capital,Mendoza,Mitre 749 cdad,,,Indistinto,1.0,False,False,False,,False,No,rosana,Dueno Directo,True,False,,Dueño directo Departamento calle Mitre entre San Lorenzo y Montevideo. Dormitorio. Cocina. Estar. Baño. Aire acondicionado frio/calor. Sin expensas,101867-24
inmoclick:10313-13,inmoclick,10313,13,https://inmoclick.com/10313-mario-arturo-romani/inmuebles/13/ficha/departamento-en-alquiler-en-lavalle-290-esquina-san-martin-sur,2026-09-08,,650000.0,ARS,9285.714285714286,70.0,70.0,5.0,2.0,1.0,Departamento,Alquiler,Excelente,35.0,Godoy Cruz,Mendoza,Lavalle 290 esquina San Martin sur,-32.87505096302248,-68.83456419,Sin Cochera,1.0,False,False,,38000.0,,,mario arturo romani,Dueno Directo,True,False,,"• 🏠 Ubicación: Lavalle esquina San Martín (sur), a 2 cuadras de la plaza 
• 🛏️ Dormitorios: 2 dormitorios con placares 
• 🛁 Baños: 1 baño con antebaño 
• 🛋️ Ambientes: Living comedor amplio + cocina comedor 
• 🧺 Lavadero: Lavadero cubierto 
• 🧽 Estado: Se entrega recién pintado y en excelentes condiciones 
• 🔥 Equipamiento: Cocina, calefón y estufa incluidos 
• 🪜 Piso: Primer piso por escalera 
• 👥 Capacidad: Máximo 3 personas 
• 🐶 Mascota: Se acepta mascota pequeña, con supervisión constante del inquilino 
• 📄 Condiciones: Contrato por 2 años con actualizaciones cuatrimestrales por IPC 
• 🛍️ Entorno: Rodeado de comercios de distintos rubros

Descripción:
Disfrute de la comodidad de vivir en una de las esquinas más prácticas de la zona sur: a solo dos cuadras de la plaza y con todo tipo de comercios a mano, este departamento ofrece un equilibrio ideal entre tranquilidad y conveniencia. En primer piso por escalera, encontrará un ingreso que conduce a espacios bien distribuidos: dos dormitorios con placares que brindan almacenamiento ordenado, un baño con antebaño que aporta mayor funcionalidad, y un living comedor perfecto para recibir visitas o disfrutar de ratos de relax.

La cocina comedor integrada y el lavadero cubierto facilitan las tareas diarias, y el equipamiento (cocina, calefón y estufa) permite instalarse sin demoras. Se entrega recién pintado y en excelentes condiciones, listo para habitar. Ideal para parejas, pequeñas familias o profesionales que busquen confort y ubicación estratégica. Se admite una mascota pequeña bajo supervisión, y el contrato es por 2 años con actualizaciones cuatrimestrales por IPC, ofreciendo seguridad y previsibilidad. Un hogar práctico y acogedor en una ubicación privilegiada.",10313-13
inmoclick:103145-4,inmoclick,103145,4,https://inmoclick.com/103145-marcelo-cardone/inmuebles/4/ficha/departamento-en-alquiler-en-palacios-cesar-1299-las-heras,2026-09-08,,650000.0,ARS,7222.222222222223,90.0,120.0,,3.0,2.0,Departamento,Alquiler,Bueno,,Las Heras,Mendoza,"Palacios Cesar 1299, las heras",-32.852336614470865,-68.8496570767212,Garage/Cochera,,,,False,,,,marcelo cardone,Dueno Directo,True,False,,"Alquilo maravilloso departamento. Ubicado en calle Cesar Palacios 1299, Las Heras, inmediaciones ChangoMás.

Sin expensas.
Desarrollado de la siguiente manera en planta baja: cochera, cocina-comedor, living-comedor, baño y patio. En planta alta: 3 dormitorios (1 pequeño) y baño.
Se aceptan mascotas.
Plazo de contrato: 2 años.
Actualización de canon cuatrimestral según ICL.

Requisitos:
-Mes de alquiler
-Mes de depósito (se puede abonar en 2 pagos)
-$300.000 para gastos administrativos (confección de contrato y averiguación de garantías, también se puede abonar en 2 pagos)
-Solicitante con bono de sueldo
-Un garante propietario y uno con bono de sueldo o 2 garantes con bono de sueldo.",103145-4
inmoclick:10325-330,inmoclick,10325,330,https://inmoclick.com/10325-inmobiliaria-perez-elustondo/inmuebles/330/ficha/departamento-en-alquiler-en-olascoaga1048-ciudad,2026-09-08,,1200.0,USD,3.0,400.0,400.0,8.0,4.0,5.0,Departamento,Alquiler,---,30.0,Capital,Mendoza,Olascoaga1048 ciudad,-32.8885223,-68.8542118,,,,,,500000.0,,,inmobiliaria perez elustondo,Inmobiliaria,False,True,,"En el corazón de la 5.ª Sección Residencial Sur de Mendoza, se encuentra este exclusivo departamento en alquiler, ideal para quienes buscan comodidad y funcionalidad. Con una superficie total de 400 m2, de los cuales 400 m2 son cubiertos, el inmueble destaca por su amplia disposición frente, ofreciendo un entorno luminoso y acogedor. Este espacioso departamento cuenta con 8 ambientes, incluyendo 4 dormitorios y 4 baños, diseñados para brindar el máximo confort. La distribución incluye un hall de entrada, living comedor, cocina, lavadero, escritorio, y un encantador balcón que invita a disfrutar del aire libre. 

Además, el departamento está equipado con todas las comodidades necesarias para una vida moderna: agua corriente, gas natural, luz, termotanque, aire acondicionado y desagüe cloacal. La propiedad también cuenta con un sistema de seguridad que incluye encargado y ascensor, garantizando tranquilidad y accesibilidad. Con 2 cocheras cubiertas, este inmueble es ideal para familias o profesionales que requieran espacio adicional. La ubicación es estratégica, en una zona escolar y con fácil acceso a servicios, lo que lo convierte en una opción atractiva tanto para vivir como para establecer un espacio profesional, ya que es apto para este fin. 

Por último, las expensas son de AR$500.000, lo que asegura el mantenimiento de las áreas comunes y el correcto funcionamiento de los servicios. Con una antigüedad de 30 años, esta propiedad ha sido cuidadosamente mantenida, haciendo de este departamento una oportunidad única en el mercado actual.

Requisitos

Dos Garantes con Recibo de Sueldo o Propiedad.

No figurar en el Veraz

Mes de depósito

Mes de alquiler

Mes de Honorarios Inmobiliaria

Gastos de Contrato (24 meses incremento cuatri en base al IPC) y firmas.

Para combinar una visita contactarse con Imobiliaria Perez Elustondo (Mat. 1435)",10325-330
